Town_Neighborhood,District,State,Latitude,Longitude,Number_of_Residents,Venue_ID,Venue_Name,Venue_Lat,Venue_Lon,Venue_Distance,Venue_Cat_ID,Venue_Category
TAMAN DAHLIA,PULAI,JOHOR,1.5116441009091304,103.69369141027279,2743,4ef4899602d574894fe0aa2a,Restoran Sayam,1.5076501129617814,103.69804627235064,657,4bf58dd8d48988d149941735,Thai Restaurant
TAMAN DAHLIA,PULAI,JOHOR,1.5116441009091304,103.69369141027279,2743,576130ee498edc93714cdb86,Rayan Seafood Restaurant,1.5124529568440686,103.70089366195192,806,4bf58dd8d48988d149941735,Thai Restaurant
TAMAN PUTRI,KULAI,JOHOR,1.6596886792500312,103.58370396621879,2295,52d01b63498e897f5ec927ab,Jatujak Tomyam & Seafood,1.6676210303198176,103.58194675691742,904,4bf58dd8d48988d149941735,Thai Restaurant
LARKIN,JOHOR BAHRU,JOHOR,1.4951946200175708,103.7448062574562,3058,4e7874f21850c4d4d8cf6868,Restoran Selera Harum Damai,1.5000773697276282,103.74870489142252,695,4bf58dd8d48988d149941735,Thai Restaurant
LARKIN,JOHOR BAHRU,JOHOR,1.4951946200175708,103.7448062574562,3058,5696548c38fa381455b86487,Restoran Rayyan Tomyan And Seafood,1.4890877096068051,103.73998423542164,866,4bf58dd8d48988d149941735,Thai Restaurant
SENTOSA,JOHOR BAHRU,JOHOR,1.4942420712222575,103.77542012194452,4886,56c9a064cd10041d2f65fb01,Social House,1.493413541580815,103.77596223159608,110,4bf58dd8d48988d149941735,Thai Restaurant
SENTOSA,JOHOR BAHRU,JOHOR,1.4942420712222575,103.77542012194452,4886,522c441211d2025faf8df854,Tong-Kum,1.4942811938796965,103.7823735385382,773,4bf58dd8d48988d149941735,Thai Restaurant
NIBONG DAYA,TEBRAU,JOHOR,1.5619077473333702,103.7542365209584,1690,4d08bec584ec224b26322b62,Restoran Sri Dayu Tomyam,1.5588642527324093,103.75559995863722,371,4bf58dd8d48988d149941735,Thai Restaurant
TAMAN MAJEDEE,JOHOR BAHRU,JOHOR,1.4980341659286005,103.75671405985723,2827,53723426498e6b2e00212de3,Warong Seafood Kg. Kurnia,1.4990801634658246,103.75843313995709,223,4bf58dd8d48988d149941735,Thai Restaurant
BANDAR SENAI SELATAN,KULAI,JOHOR,1.6019049995333663,103.64102016666672,2031,53c1150d498e6127c420b7e7,Restoran Tomyam Ramai-Ramai Senai,1.6002032610409969,103.64500752970227,482,4bf58dd8d48988d149941735,Thai Restaurant
BANDAR SENAI SELATAN,KULAI,JOHOR,1.6019049995333663,103.64102016666672,2031,4cf272ad8333224b9b46108e,Restaurant Tom Yam Ramai-Ramai,1.609641270796671,103.64412726212858,928,4bf58dd8d48988d149941735,Thai Restaurant
BANDAR SENAI SELATAN,KULAI,JOHOR,1.6019049995333663,103.64102016666672,2031,4d8211cb6476a093efe21a53,Sri Mawar Tomyam Seafood,1.6096683366397675,103.6439210389156,922,4bf58dd8d48988d149941735,Thai Restaurant
BANDAR KULAI TENGAH,KULAI,JOHOR,1.6576188401538725,103.60240703623079,2039,50b61bb9e4b07434df8fe47c,Warung D'Sinar Restaurant,1.662116922457684,103.59920781430144,614,4bf58dd8d48988d149941735,Thai Restaurant
