Town_Neighborhood,District,State,Latitude,Longitude,Number_of_Residents,Venue_ID,Venue_Name,Venue_Lat,Venue_Lon,Venue_Distance,Venue_Cat_ID,Venue_Category
TAMAN DAHLIA,PULAI,JOHOR,1.5116441009091304,103.69369141027279,2743,4ce212dfaba88cfa803a59d7,Medan Selera Cempaka,1.5151803829853487,103.69822610796776,640,4bf58dd8d48988d142941735,Asian Restaurant
TAMAN DAHLIA,PULAI,JOHOR,1.5116441009091304,103.69369141027279,2743,515672d3e4b0008681f758d1,Mr. Noh Otak-otak JB,1.5129927710722892,103.68574761194542,896,4bf58dd8d48988d142941735,Asian Restaurant
TAMAN DAHLIA,PULAI,JOHOR,1.5116441009091304,103.69369141027279,2743,51392c9de4b0bcfbb07d9f05,MCC Makan Sutra,1.519065628946709,103.69105958233452,876,4bf58dd8d48988d142941735,Asian Restaurant
TAMAN DAMAI JAYA,GELANG PATAH,JOHOR,1.5063505716190877,103.65133763957151,4668,4ffaad74e4b0956dd691e74e,順記鹵鴨飯粿條仔,1.513125,103.656749,965,4bf58dd8d48988d142941735,Asian Restaurant
TAMAN DAMAI JAYA,GELANG PATAH,JOHOR,1.5063505716190877,103.65133763957151,4668,53d620e7498e68b7712ae837,777Restoran海鲜美食中心,1.509594284967101,103.65050040528902,372,4bf58dd8d48988d142941735,Asian Restaurant
TAMAN DAMAI JAYA,GELANG PATAH,JOHOR,1.5063505716190877,103.65133763957151,4668,4f8d7ca7e4b037ca848e28b6,Khai Tomyam,1.499142,103.647364,916,4bf58dd8d48988d142941735,Asian Restaurant
TAMAN PUTRI,KULAI,JOHOR,1.6596886792500312,103.58370396621879,2295,5532258d498ed8c8eb46a0ae,Along Bistro,1.6561472761526674,103.5875602714974,582,4bf58dd8d48988d142941735,Asian Restaurant
TAMAN PUTRI,KULAI,JOHOR,1.6596886792500312,103.58370396621879,2295,4cdd6529cea2224b63ea904c,Nanzeela Restoran,1.6557777627576644,103.58863452755541,700,4bf58dd8d48988d142941735,Asian Restaurant
PENYIARAN,GELANG PATAH,JOHOR,1.5351354237143189,103.61673483625007,2550,5046b0a6e4b0ecd27ad09f2c,Warung Pak Mansor,1.5403430335569277,103.61599989367711,585,4bf58dd8d48988d142941735,Asian Restaurant
FLAT PERKASA 'B' TUTA,GELANG PATAH,JOHOR,1.50830680172731,103.65526739868187,3553,4d3d5f3d84d46ea898b4055d,Restoran You Kee 有记XO烧腊之家,1.5165829386062333,103.65394273777528,933,4bf58dd8d48988d142941735,Asian Restaurant
FLAT PERKASA 'B' TUTA,GELANG PATAH,JOHOR,1.50830680172731,103.65526739868187,3553,52f8cc21498ee5ec893e35f2,Tampoi Laksa Shangrila 香格里拉,1.5166725579986688,103.65390803238633,943,4bf58dd8d48988d142941735,Asian Restaurant
KAMPONG RAHMAT,KULAI,JOHOR,1.6797227231973977,103.51966212073691,1869,5749aaec498e3b6d11d3a202,Restoran Daun Pisang,1.679014,103.525439,647,4bf58dd8d48988d142941735,Asian Restaurant
LARKIN,JOHOR BAHRU,JOHOR,1.4951946200175708,103.7448062574562,3058,4d14532f6d103704548420bd,KSZ Restaurant,1.494867842170058,103.7535522214425,973,4bf58dd8d48988d142941735,Asian Restaurant
NIBONG DAYA,TEBRAU,JOHOR,1.5619077473333702,103.7542365209584,1690,54c1001e498e3427268eb9dd,Celoreng Houze,1.5551964218496581,103.75644689627757,786,4bf58dd8d48988d142941735,Asian Restaurant
NIBONG DAYA,TEBRAU,JOHOR,1.5619077473333702,103.7542365209584,1690,5530535d498ea799c624a5ca,Restoran Azmi & Umi,1.5551789549886252,103.75525913657724,757,4bf58dd8d48988d142941735,Asian Restaurant
TAMAN MAJEDEE,JOHOR BAHRU,JOHOR,1.4980341659286005,103.75671405985723,2827,4cc94637d338236a877ba17c,Yong Tahu Aris,1.5040785862450667,103.7501472893261,993,4bf58dd8d48988d142941735,Asian Restaurant
TAMAN MAJEDEE,JOHOR BAHRU,JOHOR,1.4980341659286005,103.75671405985723,2827,4c2205bf7e85c928014abb21,Sinar Kurnia,1.4990416964860689,103.75847007085846,225,4bf58dd8d48988d142941735,Asian Restaurant
TAMAN MAJEDEE,JOHOR BAHRU,JOHOR,1.4980341659286005,103.75671405985723,2827,4ddb3dde2271ac90476f79df,warung kak leha,1.4941494402231383,103.76399004930313,917,4bf58dd8d48988d142941735,Asian Restaurant
TAMAN MAJEDEE,JOHOR BAHRU,JOHOR,1.4980341659286005,103.75671405985723,2827,4ca6133f44a8224b31afff3f,Mummy R,1.5052483521011322,103.76132436594662,952,4bf58dd8d48988d142941735,Asian Restaurant
TAMAN MAJEDEE,JOHOR BAHRU,JOHOR,1.4980341659286005,103.75671405985723,2827,53c9016c498e31473d0e7116,Restoran Zaharah Idaman,1.499889113708386,103.74865262587649,920,4bf58dd8d48988d142941735,Asian Restaurant
MASAI,PASIR GUDANG,JOHOR,1.4960158672031592,103.88769610832821,3887,4d3d7bd0557d6dcb06d84444,Restoran Thoyiib Tom Yam & Sea Food,1.5022858680118865,103.8855573820724,737,4bf58dd8d48988d142941735,Asian Restaurant
TAMPOI INDAH,PULAI,JOHOR,1.5111322473684448,103.68253703010531,1857,4e60d085d22d509a38e47f7d,老夫子活海鮮外面,1.5100733346349398,103.68169542104538,150,4bf58dd8d48988d142941735,Asian Restaurant
TAMPOI INDAH,PULAI,JOHOR,1.5111322473684448,103.68253703010531,1857,4d330cfa329e5481302cb61d,Restoran Anggun,1.5038747322633383,103.68587421835659,889,4bf58dd8d48988d142941735,Asian Restaurant
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,4fdad8d4e4b049d373083ee6,Awana Asian Kitchen,1.5613075045125762,103.80745608410689,487,4bf58dd8d48988d142941735,Asian Restaurant
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,4cf5848bd3a8a1cd4917cc43,列光茶室,1.5656729013359258,103.8142586162224,581,4bf58dd8d48988d142941735,Asian Restaurant
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,4d1d8296756e8cfad1245054,Indonesian Corner Fast Food,1.56174940920174,103.80693511822923,468,4bf58dd8d48988d142941735,Asian Restaurant
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,4d19bbf881cea35de51ef7ec,富山美食中心,1.5606070342792686,103.80766556936264,554,4bf58dd8d48988d142941735,Asian Restaurant
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515,5489034b498e796e10d70949,99兴美食阁,1.5603192128128882,103.80927780821236,565,4bf58dd8d48988d142941735,Asian Restaurant
KAMPONG PASIR,PULAI,JOHOR,1.495703303102596,103.69384194356415,3277,4cbabe0343ec6dcba279a631,Din Yong Taufu,1.4924864560755453,103.7010623984614,879,4bf58dd8d48988d142941735,Asian Restaurant
BANDAR SENAI SELATAN,KULAI,JOHOR,1.6019049995333663,103.64102016666672,2031,51443baee4b0da66d5e5da22,Restoran H&P,1.5959546023698818,103.64565374084542,839,4bf58dd8d48988d142941735,Asian Restaurant
BANDAR KULAI TENGAH,KULAI,JOHOR,1.6576188401538725,103.60240703623079,2039,4f7057f3e4b08610792b34d1,Guoma 锅妈台式火锅,1.6619708708120289,103.60164965559576,491,4bf58dd8d48988d142941735,Asian Restaurant
BANDAR KULAI TIMOR,KULAI,JOHOR,1.653115071000039,103.6055662343182,2160,4cfe0be2d7206ea877344c69,Warung Nasi Lemak Wak Kentut,1.6520225354519738,103.61017715340724,527,4bf58dd8d48988d142941735,Asian Restaurant
BANDAR KULAI TIMOR,KULAI,JOHOR,1.653115071000039,103.6055662343182,2160,50d6e11fe4b0bc5a5c071c75,海外天海鲜饭店,1.6495404016685462,103.61108859971766,732,4bf58dd8d48988d142941735,Asian Restaurant
BANDAR KULAI TIMOR,KULAI,JOHOR,1.653115071000039,103.6055662343182,2160,51583f9ae4b0f0f5aeffac49,Nasi Lemak Kukus Ayam Berempab Ayahanda Bonda,1.651884897809842,103.59891021240543,753,4bf58dd8d48988d142941735,Asian Restaurant
BANDAR KULAI TIMOR,KULAI,JOHOR,1.653115071000039,103.6055662343182,2160,57e9dec7498e9744694d0d9e,isnur catering,1.650262,103.598745,822,4bf58dd8d48988d142941735,Asian Restaurant
PEKAN SENGKANG,KULAI,JOHOR,1.6872865460000366,103.56834485908007,1300,509ca01ce4b01b9e4891812d,Nyonya Shiok Restaurant,1.6828709840774536,103.57282257080078,699,4bf58dd8d48988d142941735,Asian Restaurant
KAMPONG WADI HANA,JOHOR BAHRU,JOHOR,1.4747474969615717,103.7579789266539,2211,4d0185d794c5b1f7fc6a52de,Warong Teh Sarbat Asli,1.4711521320817835,103.75613947652764,449,4bf58dd8d48988d142941735,Asian Restaurant
KAMPONG WADI HANA,JOHOR BAHRU,JOHOR,1.4747474969615717,103.7579789266539,2211,4f028f2c2c5b66f33ec92134,Bawah Jambatan Wadi Hana,1.4733199743217142,103.76146576945816,419,4bf58dd8d48988d142941735,Asian Restaurant
