Neighborhood,District,State,Latitude,Longitude,Number_of_Residents
TAMAN DAHLIA,PULAI,JOHOR,1.5116441009091304,103.69369141027279,2743
SETIA ENAU,TEBRAU,JOHOR,1.5803717054884054,103.75740078260476,3168
TAMAN DAMAI JAYA,GELANG PATAH,JOHOR,1.5063505716190875,103.65133763957151,4668
KONG KONG,TEBRAU,JOHOR,1.5270901837235589,103.97388330151176,1022
TAMAN PUTRI,KULAI,JOHOR,1.6596886792500312,103.58370396621879,2295
PENYIARAN,GELANG PATAH,JOHOR,1.5351354237143189,103.61673483625009,2550
FLAT PERKASA 'B' TUTA,GELANG PATAH,JOHOR,1.50830680172731,103.65526739868189,3553
KAMPONG RAHMAT,KULAI,JOHOR,1.6797227231973977,103.5196621207369,1869
LARKIN,JOHOR BAHRU,JOHOR,1.4951946200175708,103.7448062574562,3058
TAMAN AMAN,KULAI,JOHOR,1.5915986118409329,103.63427112746595,4500
SENTOSA,JOHOR BAHRU,JOHOR,1.4942420712222575,103.77542012194452,4886
NIBONG DAYA,TEBRAU,JOHOR,1.56190774733337,103.75423652095839,1690
TAMAN MAJEDEE,JOHOR BAHRU,JOHOR,1.4980341659286005,103.75671405985723,2827
MASAI,PASIR GUDANG,JOHOR,1.4960158672031592,103.88769610832819,3887
TAMPOI INDAH,PULAI,JOHOR,1.5111322473684448,103.68253703010532,1857
ARA CEMERLANG,TEBRAU,JOHOR,1.5653947814737132,103.80903837536846,1515
KAMPONG PASIR,PULAI,JOHOR,1.495703303102596,103.69384194356415,3277
BANDAR SENAI SELATAN,KULAI,JOHOR,1.6019049995333665,103.64102016666672,2031
BANDAR KULAI TENGAH,KULAI,JOHOR,1.6576188401538725,103.6024070362308,2039
BANDAR KULAI TIMOR,KULAI,JOHOR,1.653115071000039,103.6055662343182,2160
PEKAN SENGKANG,KULAI,JOHOR,1.6872865460000366,103.56834485908006,1300
KAMPONG WADI HANA,JOHOR BAHRU,JOHOR,1.4747474969615717,103.7579789266539,2211
BANDAR KULAI UTARA,KULAI,JOHOR,1.6621612137273067,103.60325073531826,4243
KANGKAR PULAI,GELANG PATAH,JOHOR,1.5513762064444814,103.6076542141667,3095
NGEE HENG,PULAI,JOHOR,1.4701733776500303,103.75498753965005,1370
RUMAH PANGSA LARKIN,JOHOR BAHRU,JOHOR,1.5009615979655442,103.74606362062075,3304
KEEMBONG,PASIR GUDANG,JOHOR,1.5442233963000331,103.81355719030005,3918
SRI AMAR,PASIR GUDANG,JOHOR,1.5201459611538675,103.76322157205131,1895
JAYA MAS,GELANG PATAH,JOHOR,1.4953810260000309,103.65325757930006,2451
TAMAN MUHIBBAH,KULAI,JOHOR,1.6185169131389143,103.61597840805562,3937
FLAT PERKASA 'A' TUTA,GELANG PATAH,JOHOR,1.5113398877727653,103.65144233422734,3421
NIPAH DELIMA,TEBRAU,JOHOR,1.5443707262308064,103.75482538480773,1475
PINANG SAGU,TEBRAU,JOHOR,1.5524713783823945,103.76077020750004,2454
RUMBIA DAYA,TEBRAU,JOHOR,1.550962483583367,103.75293844704174,2837
JALAN TAMPOI,PULAI,JOHOR,1.5164564703200398,103.72018802610008,1361
LADANG TEBRAU,TEBRAU,JOHOR,1.5573830937681505,103.74189112507251,1063
DESA RAHMAT,PULAI,JOHOR,1.5074240899130784,103.70143785073918,2401
KANGKAR TEBRAU,TEBRAU,JOHOR,1.5333718873555915,103.74486353937785,1387
TAMAN ABAD,JOHOR BAHRU,JOHOR,1.4867153413200336,103.76014665800007,2175
ABAD JAYA 1,JOHOR BAHRU,JOHOR,1.4823179004375255,103.75674818237505,1811
KOTA MASAI,TEBRAU,JOHOR,1.4918663002778105,103.93573947038894,2618
KAMPONG PERTANIAN,KULAI,JOHOR,1.666237560185218,103.64641464918525,759
ABAD JAYA 2,JOHOR BAHRU,JOHOR,1.4864706860322894,103.75664096500005,1842
BANDAR SKUDAI TENGAH,GELANG PATAH,JOHOR,1.5378491716666922,103.66129917141672,2233
TAMAN PERMAI,KULAI,JOHOR,1.6466105233023556,103.566563303814,2038
SELESA JAYA,GELANG PATAH,JOHOR,1.4933107508710024,103.64831136083878,4060
SENAI BARU,KULAI,JOHOR,1.6207717716860737,103.66319458737217,3917
KAMPONG POK BESAR,GELANG PATAH,JOHOR,1.3536712539762223,103.59010359971431,399
BUKIT CHAGAR,JOHOR BAHRU,JOHOR,1.4694537718000373,103.76328550050005,2358
BUKIT SENYUM,JOHOR BAHRU,JOHOR,1.474398455500033,103.76450345871059,2582
FELDA TAIB ANDAK,KULAI,JOHOR,1.7332069061533137,103.63319334239421,3500
SALENG,KULAI,JOHOR,1.6137486122830496,103.63245451050945,2664
KAMPONG SRI PAYA,KULAI,JOHOR,1.6584343412097058,103.54591234279037,2081
LADANG FRASER,KULAI,JOHOR,1.7113636335578546,103.60256780114972,343
INAS,KULAI,JOHOR,1.7919969764076635,103.6084334908599,1236
BUKIT MEWAH,PULAI,JOHOR,1.5187846440816488,103.68423692571432,3821
MIDLAND KULAI YOUNG,KULAI,JOHOR,1.6270543433472424,103.47680942911117,592
KOTA KULAI,KULAI,JOHOR,1.6759231611363943,103.56901561722735,2573
PEKAN KELAPA SAWIT TIMOR,KULAI,JOHOR,1.669715221523845,103.53472703047625,1669
PEKAN KELAPA SAWIT TENGAH,KULAI,JOHOR,1.6704107921363964,103.53163622850006,2303
SEDENAK SELATAN,KULAI,JOHOR,1.7062079056626842,103.52283695144587,1334
BUKIT PERMAI,KULAI,JOHOR,1.7676358628612985,103.55009479036428,1022
AYER MANIS,KULAI,JOHOR,1.7204806955833665,103.49673633627087,874
SEELONG,KULAI,JOHOR,1.6418531765731947,103.6986514978293,815
AYER BEMBAN,KULAI,JOHOR,1.6832207985652496,103.46908393792178,1542
FELDA BUKIT BATU,KULAI,JOHOR,1.6846994774070043,103.44855409031403,1607
BANDAR SENAI UTARA,KULAI,JOHOR,1.604728644263191,103.64458742421058,2542
BANDAR SENAI TENGAH,KULAI,JOHOR,1.6022656672273017,103.64357473322731,1621
LADANG SWEE LAM,KULAI,JOHOR,1.69932125970003,103.6725208832286,4210
LUMBA KUDA,JOHOR BAHRU,JOHOR,1.4669703370697988,103.76644004379074,3069
LADANG KELAN,KULAI,JOHOR,1.6886800560000323,103.62583891067023,210
BUKIT BATU,KULAI,JOHOR,1.750090894173097,103.43880114947122,3040
MURNI JAYA,KULAI,JOHOR,1.7943344960503314,103.52510682822329,891
PEKAN KELAPA SAWIT BARAT,KULAI,JOHOR,1.6720346580833665,103.51763823850004,1690
KULAI,KULAI,JOHOR,1.6454887748696054,103.60597535763053,4930
LADANG KULAI BESAR,KULAI,JOHOR,1.627584563580683,103.5920677726775,472
TAMAN JAYA,GELANG PATAH,JOHOR,1.5674515067961998,103.67695287757962,4209
KAMPONG PULAI,GELANG PATAH,JOHOR,1.4777956489769482,103.5744383728231,894
SRI PULAI,KULAI,JOHOR,1.5519428128906536,103.64959145975003,5133
TANJONG KUPANG,GELANG PATAH,JOHOR,1.381903241625026,103.60129210768112,972
KAMPONG PENDAS,GELANG PATAH,JOHOR,1.400522893921378,103.63028966130905,218
SRI SKUDAI,GELANG PATAH,JOHOR,1.5370980567843466,103.6528973262157,4352
KEBANGSAAN,GELANG PATAH,JOHOR,1.5381065117097117,103.62930303500004,3418
DESA SKUDAI,GELANG PATAH,JOHOR,1.5389133355873377,103.639274417508,4191
BANDAR SKUDAI BARAT,GELANG PATAH,JOHOR,1.5429329295454737,103.6581662388637,1734
AYER MOLEK,PULAI,JOHOR,1.4654621670416972,103.75952470020839,1236
PULAI,KULAI,JOHOR,1.56098712195196,103.57781757625001,3486
GELANG PATAH UTARA,GELANG PATAH,JOHOR,1.4631827298936482,103.58356237682982,5381
GELANG PATAH SELATAN,GELANG PATAH,JOHOR,1.4236702073750302,103.58366007232259,1881
ULU CHOH,KULAI,JOHOR,1.5573005725286908,103.54495442236312,193
BANDAR ULU CHOH,KULAI,JOHOR,1.5283987636389211,103.54479512830564,1441
TANJONG ADANG,GELANG PATAH,JOHOR,1.3584867991215128,103.5653267097197,1477
TIRAM DUKU,GELANG PATAH,JOHOR,1.3882125612198115,103.56258960326376,996
KEMULIAAN,GELANG PATAH,JOHOR,1.5287222044516495,103.62273869148393,3727
DENAI,PULAI,JOHOR,1.5242428174324667,103.71198802733792,3727
KEMPAS,PULAI,JOHOR,1.5382063646316173,103.70282501552636,2843
LEMBAH KEMPAS,PULAI,JOHOR,1.528767667875033,103.71172800968758,2889
PERMATANG,PULAI,JOHOR,1.5326119109231162,103.72342664930777,1304
LAKSAMANA TUTA,GELANG PATAH,JOHOR,1.5243148734138148,103.67072226658622,3984
TEBING RUNTOH,GELANG PATAH,JOHOR,1.4270035005070143,103.65884769220285,208
NAKHODA TUTA,GELANG PATAH,JOHOR,1.5169394391064122,103.67070488372347,4601
HANG JEBAT,GELANG PATAH,JOHOR,1.516199804185227,103.65043523544449,5634
SKUDAI UTARA,GELANG PATAH,JOHOR,1.5212748670476393,103.67729201247623,2384
SUNGAI MELAYU,GELANG PATAH,JOHOR,1.447611330771149,103.67185225635565,713
TERATAI,PASIR GUDANG,JOHOR,1.560300703631611,103.61995987021056,2006
KAMPONG BAHRU,PULAI,JOHOR,1.4708943921731157,103.74336758417311,1149
LIMA KEDAI,GELANG PATAH,JOHOR,1.5104757022833668,103.62981039194172,5021
BUKIT SERENE,PULAI,JOHOR,1.4794000739756397,103.72946149831708,1577
SKUDAI KIRI,PULAI,JOHOR,1.484477308633824,103.71207044223947,2549
TAROM,PULAI,JOHOR,1.4759266913387423,103.7433926187742,1128
NONG CHIK,PULAI,JOHOR,1.4718223002258402,103.73990280427965,1622
GERTAK MERAH,PULAI,JOHOR,1.461219428924552,103.7497222715472,1901
TAMBATAN,PULAI,JOHOR,1.4724690100769418,103.72847532216787,2051
ULU AYER MOLEK,JOHOR BAHRU,JOHOR,1.4855943601818502,103.74172142830311,487
KEBUN TEH,JOHOR BAHRU,JOHOR,1.4863452222174232,103.74982669639132,1096
YAHYA AWAL,PULAI,JOHOR,1.477524943090936,103.74999508709097,1715
SRI JAYA,PULAI,JOHOR,1.500961491465152,103.68870388020939,2496
PUCUNG PERLING,PULAI,JOHOR,1.4941176661951556,103.68407503319514,1730
CAMAR PERLING,PULAI,JOHOR,1.4948074326515464,103.6704933203637,3685
TAMAN JOHOR,PULAI,JOHOR,1.5137657735000318,103.69264178430005,3794
TAMAN SUTERA,PULAI,JOHOR,1.4798233999000263,103.69389504977147,4875
BUKIT INDAH,PULAI,JOHOR,1.4840931096712697,103.64868473746583,5483
NUSA INDAH,PULAI,JOHOR,1.4760826230000343,103.65134189461669,2585
BELIBIS PERLING,PULAI,JOHOR,1.4856518522473434,103.6789377230861,3627
KAMPONG UNGKU MOHSIN,JOHOR BAHRU,JOHOR,1.5083360023928873,103.7365068234822,2538
FELDA KAMPONG CHAHAYA BAHRU,PASIR GUDANG,JOHOR,1.535995875509124,103.92793672632733,3513
SUNGAI DANGA,PULAI,JOHOR,1.4673452137916836,103.70136328567858,896
RAWA PERLING,PULAI,JOHOR,1.4766828797206195,103.67240555344121,2507
TAMAN SRI SETIA,JOHOR BAHRU,JOHOR,1.4727733852424467,103.77005958366671,1015
STULANG,JOHOR BAHRU,JOHOR,1.4660958078016766,103.7746377149588,3198
DESA MAJIDI,JOHOR BAHRU,JOHOR,1.5083250740750267,103.7688671194251,1420
SULAIMAN MENTERI,JOHOR BAHRU,JOHOR,1.5056802277428882,103.7645463708858,2834
MAJEDEE BAHRU,JOHOR BAHRU,JOHOR,1.5093812653333647,103.76199664425931,1345
TAMAN BARU,JOHOR BAHRU,JOHOR,1.5054151406363965,103.75459896731822,1907
STULANG BARU,JOHOR BAHRU,JOHOR,1.5101858921579407,103.75515664410531,3505
KAMPONG MELAYU MAJEDEE II,JOHOR BAHRU,JOHOR,1.5142906169130783,103.74589362560876,1518
KAMPONG MELAYU MAJEDEE I,JOHOR BAHRU,JOHOR,1.5201873826795123,103.75342620952567,3113
JALAN DATIN HALIMAH,JOHOR BAHRU,JOHOR,1.4997989537826408,103.72919568385512,1499
BAKAR BATU,JOHOR BAHRU,JOHOR,1.4843161052403326,103.78744011423257,3827
BANDAR MASAI TENGAH,PASIR GUDANG,JOHOR,1.4900846780000283,103.88356406900004,5341
BANDAR MASAI UTARA,PASIR GUDANG,JOHOR,1.4931000950952704,103.88252047609528,396
SERI ALAM,PASIR GUDANG,JOHOR,1.5264323683414946,103.89233379759764,4488
PASIR GUDANG,PASIR GUDANG,JOHOR,1.4786042466316172,103.90389117500006,6974
TAMAN MAWAR,PASIR GUDANG,JOHOR,1.461145454953634,103.88433784143825,1560
PELABUHAN PASIR GUDANG,PASIR GUDANG,JOHOR,1.446496986333358,103.90281101536465,1226
RUMAH PANGSA PKENJ,PASIR GUDANG,JOHOR,1.4586595376406633,103.90984074500005,3698
TAMAN AIR BIRU,PASIR GUDANG,JOHOR,1.434119090909093,103.91771275,2094
JOHOR JAYA TIMOR,PASIR GUDANG,JOHOR,1.5361541337333677,103.81055026980007,3461
JOHOR JAYA TENGAH,PASIR GUDANG,JOHOR,1.5436634178919257,103.8093618625406,2282
KAMPONG TELOK JAWA,PASIR GUDANG,JOHOR,1.479813292203646,103.85852609380098,657
SENIBONG,PASIR GUDANG,JOHOR,1.4865354711166863,103.81409957688336,4015
PANDAN,PASIR GUDANG,JOHOR,1.520904992243265,103.78082978644146,3643
TERATAI,KULAI,JOHOR,1.5483715805000358,103.81628246070007,2108
JOHOR JAYA UTARA,PASIR GUDANG,JOHOR,1.5487259149000376,103.81175849400006,3425
BANDAR PLENTONG UTARA,PASIR GUDANG,JOHOR,1.5286963303333652,103.8181212222334,572
BANDAR PLENTONG SELATAN,PASIR GUDANG,JOHOR,1.5257896217895084,103.8195043034211,4325
CEMERLANG TROPIKA,TEBRAU,JOHOR,1.5642346183472524,103.83157336511115,1687
SUNGAI TIRAM,TEBRAU,JOHOR,1.5887530862325807,103.91498960909307,2824
PASIR PUTEH,TEBRAU,JOHOR,1.4406625409791873,103.9499193403178,2985
PLENTONG,PASIR GUDANG,JOHOR,1.523112001114976,103.83664486452885,1189
TANJONG KOPOK,TEBRAU,JOHOR,1.4278220833333386,103.97714095833335,446
TANJONG LANGSAT,TEBRAU,JOHOR,1.4674007437329457,103.99979710909324,477
CAHAYA MASAI,TEBRAU,JOHOR,1.5118470245000333,103.9270919792657,1421
NAM HENG,TEBRAU,JOHOR,1.65379161433335,103.91837296496128,652
KOTA DELIMA,TEBRAU,JOHOR,1.492307507638332,103.96634008943623,4714
TAMAN PASIR PUTEH,TEBRAU,JOHOR,1.4715676662716393,103.93277491916051,3291
ULU TIRAM TIMOR,TEBRAU,JOHOR,1.5898812144565526,103.8404833794131,3024
PEKAN PANDAN,TEBRAU,JOHOR,1.5287421140000266,103.76717783680648,2707
BUKIT MUTIARA,TEBRAU,JOHOR,1.5536197113908399,103.71459491043679,1315
TAMAN CEMPAKA,PULAI,JOHOR,1.5135478555555992,103.69526179066672,3897
TAMAN KOBENA,PULAI,JOHOR,1.5044111616364064,103.6943615822728,1332
SRI PELANGI,JOHOR BAHRU,JOHOR,1.4770330782631846,103.77338801670182,3579
MOUNT AUSTIN,TEBRAU,JOHOR,1.5556473972237104,103.77901471350006,2477
BANDAR ULU TIRAM UTARA,TEBRAU,JOHOR,1.6024764858333629,103.82084615441671,1449
BANDAR ULU TIRAM SELATAN,TEBRAU,JOHOR,1.597192697588258,103.82195573376478,2419
BANDAR ULU TIRAM TENGAH,TEBRAU,JOHOR,1.5999109782000263,103.81756215260005,877
BANDAR ULU TIRAM BARAT,TEBRAU,JOHOR,1.6023110782000338,103.81201217550006,2320
BUKIT JAYA,TEBRAU,JOHOR,1.5968275844333701,103.79747514638895,3177
TAMAN KEBUN TEH,JOHOR BAHRU,JOHOR,1.4959354243809837,103.76040791914292,3429
ULU TIRAM BARAT,TEBRAU,JOHOR,1.6207320241111345,103.79555213627783,3069
SRI TEBRAU (1),JOHOR BAHRU,JOHOR,1.4902809016316134,103.775461828579,2992
MAJU JAYA,TEBRAU,JOHOR,1.603657492164976,103.72533434776295,2037
TAMAN MAJU JAYA,JOHOR BAHRU,JOHOR,1.481822703137963,103.76968094617244,3060
PELANGI,JOHOR BAHRU,JOHOR,1.4822781127600302,103.77536296224005,2445
SRI TEBRAU (2),JOHOR BAHRU,JOHOR,1.489880003600025,103.76605533850004,1633
FELDA ULU TEBRAU,TEBRAU,JOHOR,1.6474452701372773,103.76038495748043,3675
PERWIRA TUTA,GELANG PATAH,JOHOR,1.5288469072083668,103.66610882154173,3469
SETANGGI,JOHOR BAHRU,JOHOR,1.5037698112963254,103.77067555829633,2516
DESA JAYA,TEBRAU,JOHOR,1.558184585894757,103.8046281886316,2746
TAMAN SIANTAN,PULAI,JOHOR,1.5123213960000306,103.69837172215007,2725
PERUMAHAN UDA,JOHOR BAHRU,JOHOR,1.4989877118333697,103.71551247655562,4845
BANDAR BARU UDA,JOHOR BAHRU,JOHOR,1.4945375310625428,103.70942379118756,2837
KAMPONG LARKIN JAYA,JOHOR BAHRU,JOHOR,1.501487077714315,103.7371444982143,2447
TAMAN MELODIES,JOHOR BAHRU,JOHOR,1.4900722283023586,103.75837997800006,2449
KAMPONG PAHANG,PULAI,JOHOR,1.4571454692174164,103.76110996060874,782
HANG TUAH,GELANG PATAH,JOHOR,1.5293578853871361,103.66157833422584,5327
TAMAN GEMBIRA,TEBRAU,JOHOR,1.5243982290571767,103.74664725742862,1599
LARKIN JAYA,JOHOR BAHRU,JOHOR,1.505779673095271,103.74325930995242,1502
PERMAS 2,PASIR GUDANG,JOHOR,1.5112294350540778,103.82371746027029,2713
TAMAN SELATAN,KULAI,JOHOR,1.6609759059091205,103.59249434068187,3410
BANDAR,PULAI,JOHOR,1.457340134850019,103.76576532020003,1853
BUKIT KEMPAS,PULAI,JOHOR,1.5362919892222573,103.68965066113894,3440
HULUBALANG TUTA,GELANG PATAH,JOHOR,1.5083616976364007,103.66314938404554,2625
BANDAR SKUDAI TIMOR,GELANG PATAH,JOHOR,1.5346757887391487,103.66703399252175,248
LENGKONGAN,KULAI,JOHOR,1.6581807529286043,103.59617466000002,2684
BANDAR KULAI BARAT,KULAI,JOHOR,1.6566168564210813,103.59922865415793,2460
BANDAR MASAI SELATAN,PASIR GUDANG,JOHOR,1.488702982277808,103.88645241650005,280
BELANTIK,PASIR GUDANG,JOHOR,1.5145559342381314,103.76600335328578,2507
PEKAN TAMPOI,PULAI,JOHOR,1.4999470818889273,103.7014153883334,3102
RINTING MERANTI,PASIR GUDANG,JOHOR,1.489597875600032,103.87767017340006,2792
TAMAN KOTA PUTERI,PASIR GUDANG,JOHOR,1.5009834382830516,103.8481021889057,3041
JOHOR JAYA SELATAN,PASIR GUDANG,JOHOR,1.529178235404289,103.80661511193622,1952
PERUBATAN,GELANG PATAH,JOHOR,1.5348179666071802,103.61126644153579,2030
PENGKALAN RINTING,PULAI,JOHOR,1.4894771578049009,103.70474005900004,1626
LANJUT CEMERLANG,TEBRAU,JOHOR,1.5615912630869853,103.80815114552179,1475
SEPAKAT,JOHOR BAHRU,JOHOR,1.5094351744074481,103.74623500433336,3165
TAMAN MEGAH RIA,PASIR GUDANG,JOHOR,1.4889907932603113,103.84965365663018,2695
LEMBAH EHSAN,TEBRAU,JOHOR,1.5537628333000295,103.81175739230007,2180
PERMAS,PASIR GUDANG,JOHOR,1.5120548905384947,103.80853309736263,4298
