Location,PostOffice,State,Postcode
288 Residensi,Kuala Lumpur,Wilayah Persekutuan,53000
6 CAP Square,Kuala Lumpur,Wilayah Persekutuan,50100
Agensi Anti Dadah Kebangsaan Wilayah Persekutuan,Kuala Lumpur,Wilayah Persekutuan,50546
Akademi Badminton Malaysia,Kuala Lumpur,Wilayah Persekutuan,55100
Alam Damai,Kuala Lumpur,Wilayah Persekutuan,56000
Alang Sedayu Resort,Kuala Lumpur,Wilayah Persekutuan,53100
Amanah Raya Berhad,Kuala Lumpur,Wilayah Persekutuan,50508
Amber Business Plaza 2,Kuala Lumpur,Wilayah Persekutuan,56000
Ampang Hilir,Kuala Lumpur,Wilayah Persekutuan,55000
Ampang Road (Jinjang),Kuala Lumpur,Wilayah Persekutuan,52000
Ampat Tin,Kuala Lumpur,Wilayah Persekutuan,51000
Anjung Tiara,Kuala Lumpur,Wilayah Persekutuan,51200
Apartment Madu Mas,Kuala Lumpur,Wilayah Persekutuan,53300
Apartment Pertama Residensi,Kuala Lumpur,Wilayah Persekutuan,56100
Arked Esplanad,Kuala Lumpur,Wilayah Persekutuan,57000
Arkib Negara Malaysia,Kuala Lumpur,Wilayah Persekutuan,50568
Astaka Heights,Kuala Lumpur,Wilayah Persekutuan,56100
Badan Pencegah Rasuah,Kuala Lumpur,Wilayah Persekutuan,50988
"Bahagian Audit Sekolah, Kementerian Pelajaran Malaysia",Kuala Lumpur,Wilayah Persekutuan,50604
Bahagian Kawal Selia Penyelenggaraan Pejabat Pengurus Bangunan,Kuala Lumpur,Wilayah Persekutuan,50502
"Bahagian Pembangunan Kompetensi, Kementerian Kesihatan",Kuala Lumpur,Wilayah Persekutuan,50590
Bahagian Pengurusan Amanah dan Sekuriti Jabatan Akauntan Negara,Kuala Lumpur,Wilayah Persekutuan,50594
Bahagian Pengurusan dan Pemuliharaan Sumber Tanah Jabatan Pertanian,Kuala Lumpur,Wilayah Persekutuan,50632
Bahagian Pengurusan Latihan Kementerian Kesihatan Malaysia,Kuala Lumpur,Wilayah Persekutuan,50590
